Algorithm Used,Memory Depth,Mutation Rate,Opponent_Name,Coop Rate,Evaluation
Hill Climbing,1,0.05,TFT,1,1
Hill Climbing,1,0.05,TitForTwoTats,1,1
Hill Climbing,1,0.05,ShortTermTitForTat,0.5,0
Hill Climbing,1,0.05,AlwaysDefect,0.005,0
Hill Climbing,1,0.05,AlwaysCooperate,0.005,0
Hill Climbing,1,0.05,RandomStrategy,0.005,0
Hill Climbing,1,0.05,GrimTrigger,1,0
Hill Climbing,1,0.05,ZDGTFT2,0.435,0
Hill Climbing,1,0.05,Extort2,1,0
Hill Climbing,1,0.05,HardJoss,1,0
Hill Climbing,1,0.05,GTFT,1,1
Hill Climbing,1,0.05,WSLS,0.005,0
Hill Climbing,1,0.05,HardMajo,1,0
Hill Climbing,1,0.05,Grudger,0.005,0
Hill Climbing,1,0.05,Prober,0.005,0
Hill Climbing,5,0.05,TFT,1,1
Hill Climbing,5,0.05,TitForTwoTats,0.555,0
Hill Climbing,5,0.05,ShortTermTitForTat,1,1
Hill Climbing,5,0.05,AlwaysDefect,0.005,0
Hill Climbing,5,0.05,AlwaysCooperate,0.005,0
Hill Climbing,5,0.05,RandomStrategy,0.285,0
Hill Climbing,5,0.05,GrimTrigger,0.01,0
Hill Climbing,5,0.05,ZDGTFT2,1,1
Hill Climbing,5,0.05,Extort2,0.81,0
Hill Climbing,5,0.05,HardJoss,0.52,0
Hill Climbing,5,0.05,GTFT,1,1
Hill Climbing,5,0.05,WSLS,1,1
Hill Climbing,5,0.05,HardMajo,0.5,0
Hill Climbing,5,0.05,Grudger,0.005,0
Hill Climbing,5,0.05,Prober,0.02,0
Hill Climbing,4,0.05,TFT,1,1
Hill Climbing,4,0.05,TitForTwoTats,0.375,0
Hill Climbing,4,0.05,ShortTermTitForTat,1,1
Hill Climbing,4,0.05,AlwaysDefect,0.005,0
Hill Climbing,4,0.05,AlwaysCooperate,0.005,0
Hill Climbing,4,0.05,RandomStrategy,0.365,0
Hill Climbing,4,0.05,GrimTrigger,1,0
Hill Climbing,4,0.05,ZDGTFT2,1,1
Hill Climbing,4,0.05,Extort2,0.815,0
Hill Climbing,4,0.05,HardJoss,0.755,0
Hill Climbing,4,0.05,GTFT,0.555,0
Hill Climbing,4,0.05,WSLS,0.665,1
Hill Climbing,4,0.05,HardMajo,0.5,0
Hill Climbing,4,0.05,Grudger,1,1
Hill Climbing,4,0.05,Prober,0.98,0
Hill Climbing,3,0.1,TFT,1,1
Hill Climbing,3,0.1,TitForTwoTats,1,1
Hill Climbing,3,0.1,ShortTermTitForTat,1,1
Hill Climbing,3,0.1,AlwaysDefect,0.01,0
Hill Climbing,3,0.1,AlwaysCooperate,0.005,0
Hill Climbing,3,0.1,RandomStrategy,0.115,0
Hill Climbing,3,0.1,GrimTrigger,0.01,0
Hill Climbing,3,0.1,ZDGTFT2,1,1
Hill Climbing,3,0.1,Extort2,0.885,0
Hill Climbing,3,0.1,HardJoss,0.625,0
Hill Climbing,3,0.1,GTFT,0.5,0
Hill Climbing,3,0.1,WSLS,0.335,0
Hill Climbing,3,0.1,HardMajo,0.5,0
Hill Climbing,3,0.1,Grudger,0.995,0
Hill Climbing,3,0.1,Prober,0.01,0
Hill Climbing,5,0.01,TFT,1,1
Hill Climbing,5,0.01,TitForTwoTats,1,1
Hill Climbing,5,0.01,ShortTermTitForTat,1,1
Hill Climbing,5,0.01,AlwaysDefect,0.985,0
Hill Climbing,5,0.01,AlwaysCooperate,1,1
Hill Climbing,5,0.01,RandomStrategy,0.39,0
Hill Climbing,5,0.01,GrimTrigger,0.01,0
Hill Climbing,5,0.01,ZDGTFT2,0.5,0
Hill Climbing,5,0.01,Extort2,0.58,0
Hill Climbing,5,0.01,HardJoss,0.525,0
Hill Climbing,5,0.01,GTFT,0.47,0
Hill Climbing,5,0.01,WSLS,1,1
Hill Climbing,5,0.01,HardMajo,0.505,0
Hill Climbing,5,0.01,Grudger,0.995,0
Hill Climbing,5,0.01,Prober,0.98,0
Hill Climbing,4,0.1,TFT,1,1
Hill Climbing,4,0.1,TitForTwoTats,0.5,0
Hill Climbing,4,0.1,ShortTermTitForTat,1,1
Hill Climbing,4,0.1,AlwaysDefect,0.01,0
Hill Climbing,4,0.1,AlwaysCooperate,0.005,0
Hill Climbing,4,0.1,RandomStrategy,0.325,0
Hill Climbing,4,0.1,GrimTrigger,0.99,0
Hill Climbing,4,0.1,ZDGTFT2,1,1
Hill Climbing,4,0.1,Extort2,0.8,0
Hill Climbing,4,0.1,HardJoss,0.925,0
Hill Climbing,4,0.1,GTFT,1,1
Hill Climbing,4,0.1,WSLS,0.335,0
Hill Climbing,4,0.1,HardMajo,0.5,0
Hill Climbing,4,0.1,Grudger,0.01,0
Hill Climbing,4,0.1,Prober,0.01,0
Hill Climbing,3,0.1,TFT,1,1
Hill Climbing,3,0.1,TitForTwoTats,0.335,0
Hill Climbing,3,0.1,ShortTermTitForTat,1,1
Hill Climbing,3,0.1,AlwaysDefect,0.005,0
Hill Climbing,3,0.1,AlwaysCooperate,0.005,0
Hill Climbing,3,0.1,RandomStrategy,0.235,0
Hill Climbing,3,0.1,GrimTrigger,1,0
Hill Climbing,3,0.1,ZDGTFT2,1,1
Hill Climbing,3,0.1,Extort2,0.71,0
Hill Climbing,3,0.1,HardJoss,1,0
Hill Climbing,3,0.1,GTFT,1,1
Hill Climbing,3,0.1,WSLS,0.005,0
Hill Climbing,3,0.1,HardMajo,0.5,0
Hill Climbing,3,0.1,Grudger,0.015,0
